iterations;bestFitness;averageFitness;mutations;cruces;
3910;7.668711656441718E-5;7.264626833379855E-5;7024;35190;
3915;7.687576875768758E-5;7.536814302571918E-5;7031;35235;
3920;7.687576875768758E-5;7.411516638127328E-5;7040;35280;
3925;7.687576875768758E-5;7.567885633737824E-5;7052;35325;
3930;7.687576875768758E-5;7.417945741949335E-5;7065;35370;
3935;7.687576875768758E-5;7.451098976402007E-5;7070;35415;
3940;7.692307692307693E-5;7.49137787658185E-5;7079;35460;
3945;7.692307692307693E-5;7.31501336727063E-5;7095;35505;
3950;7.692307692307693E-5;7.487056680819637E-5;7104;35550;
3955;7.692307692307693E-5;7.348323738737034E-5;7114;35595;
3960;7.692307692307693E-5;7.510331006642908E-5;7121;35640;
3965;7.692307692307693E-5;7.416093672743325E-5;7131;35685;
3970;7.692307692307693E-5;7.374769911616196E-5;7143;35730;
3975;7.692307692307693E-5;7.20356176558705E-5;7153;35775;
3980;7.692307692307693E-5;7.52344812187252E-5;7161;35820;
3985;7.692307692307693E-5;7.392518719241266E-5;7169;35865;
3990;7.692307692307693E-5;7.396065325370122E-5;7176;35910;
3995;7.692307692307693E-5;7.336050534573518E-5;7183;35955;
4000;7.692307692307693E-5;7.346762329483985E-5;7196;36000;
4005;7.692307692307693E-5;7.292957354658529E-5;7209;36045;
4010;7.692307692307693E-5;7.409093912187471E-5;7219;36090;
4015;7.692307692307693E-5;7.490056220868861E-5;7226;36135;
4020;7.692307692307693E-5;7.402904259796347E-5;7234;36180;
4025;7.692307692307693E-5;7.353260361659479E-5;7249;36225;
4030;7.692307692307693E-5;7.335423126782763E-5;7261;36270;
4035;7.716049382716049E-5;7.483047276440499E-5;7268;36315;
4040;7.716049382716049E-5;7.40471082374501E-5;7276;36360;
4045;7.716049382716049E-5;7.407868509779393E-5;7283;36405;
4050;7.716049382716049E-5;7.417902872577749E-5;7290;36450;
4055;7.716049382716049E-5;7.494354876470961E-5;7300;36495;
4060;7.716049382716049E-5;7.537140140566158E-5;7310;36540;
4065;7.716049382716049E-5;7.403004020377722E-5;7317;36585;
4070;7.716049382716049E-5;7.472139305558495E-5;7329;36630;
4075;7.716049382716049E-5;7.614442030910792E-5;7337;36675;
4080;7.716049382716049E-5;7.445729773682965E-5;7343;36720;
4085;7.737542556484061E-5;7.479858314698363E-5;7348;36765;
4090;7.737542556484061E-5;7.334425060419463E-5;7358;36810;
4095;7.737542556484061E-5;7.329580306481553E-5;7372;36855;
4100;7.737542556484061E-5;7.409101977014783E-5;7381;36900;
4105;7.737542556484061E-5;7.312375431786038E-5;7394;36945;
4110;7.737542556484061E-5;7.362866521588871E-5;7403;36990;
4115;7.737542556484061E-5;7.449296586856447E-5;7413;37035;
4120;7.737542556484061E-5;7.51351002804098E-5;7422;37080;
4125;7.737542556484061E-5;7.422194125546266E-5;7432;37125;
4130;7.737542556484061E-5;7.403233496754307E-5;7441;37170;
4135;7.737542556484061E-5;7.554046234245075E-5;7455;37215;
4140;7.737542556484061E-5;7.514602655751144E-5;7460;37260;
4145;7.737542556484061E-5;7.500430040745877E-5;7472;37305;
4150;7.737542556484061E-5;7.549835352936377E-5;7478;37350;
4155;7.737542556484061E-5;7.500054609623882E-5;7486;37395;
4160;7.737542556484061E-5;7.347613629459586E-5;7496;37440;
4165;7.737542556484061E-5;7.343627087336389E-5;7504;37485;
4170;7.737542556484061E-5;7.358858748535183E-5;7510;37530;
4175;7.737542556484061E-5;7.599700230737422E-5;7517;37575;
4180;7.737542556484061E-5;7.571014838384012E-5;7524;37620;
4185;7.737542556484061E-5;7.563387089539375E-5;7533;37665;
4190;7.737542556484061E-5;7.368663854556138E-5;7545;37710;
4195;7.737542556484061E-5;7.229005458872198E-5;7556;37755;
4200;7.737542556484061E-5;7.546892630602425E-5;7561;37800;
4205;7.737542556484061E-5;7.385000289501632E-5;7569;37845;
4210;7.737542556484061E-5;7.51368293384044E-5;7577;37890;
4215;7.74233508826262E-5;7.364929423197727E-5;7588;37935;
4220;7.74233508826262E-5;7.477495095054524E-5;7597;37980;
4225;7.74233508826262E-5;7.457956457332706E-5;7609;38025;
4230;7.74233508826262E-5;7.301045718270036E-5;7617;38070;
4235;7.74233508826262E-5;7.364572234104317E-5;7629;38115;
4240;7.74233508826262E-5;7.490919807462839E-5;7637;38160;
4245;7.74233508826262E-5;7.462090505479153E-5;7647;38205;
4250;7.74233508826262E-5;7.53854243773256E-5;7658;38250;
4255;7.74233508826262E-5;7.618228136606671E-5;7664;38295;
4260;7.74233508826262E-5;7.448217168939218E-5;7674;38340;
4265;7.74233508826262E-5;7.398121400954065E-5;7682;38385;
4270;7.74233508826262E-5;7.452790768290907E-5;7692;38430;
4275;7.74233508826262E-5;7.534058099185286E-5;7697;38475;
4280;7.74233508826262E-5;7.470363890129364E-5;7703;38520;
4285;7.74233508826262E-5;7.566468075237961E-5;7715;38565;
4290;7.74233508826262E-5;7.454797059113495E-5;7727;38610;
4295;7.74233508826262E-5;7.62515070955649E-5;7732;38655;
